player_id,NumOfInningsBatted,NotOutInnings,runs_scored,balls_faced,Bat_AVG,Bat_SR,MRA,BRPI,HS,NumOfIngsBowled,balls_bowled,runs_conceded,WCKTS,BW_AVG,BW_SR,BW_ECN,MDO
1318,1,0,40,37,40,1.081,0,22,40,1,13,12,0,12,13,5.538,0
,,,,,,,,,,,,,,,,,
1401,6,1,96,135,19.2,0.711,0,7.333,38,3,48,59,0,59,48,7.375,0
,,,,,,,,,,,,,,,,,
408,3,0,120,140,40,0.857,0.667,16,63,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
711,5,1,13,37,3.25,0.351,0,0.8,8,6,249,274,5,54.8,49.8,6.602,1
,,,,,,,,,,,,,,,,,
812,3,0,57,109,19,0.523,0,7.333,28,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
607,6,0,176,264,29.333,0.667,0.167,12,84,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1106,6,2,159,189,39.75,0.841,0.167,9.667,52,2,48,38,1,38,48,4.75,0
,,,,,,,,,,,,,,,,,
1407,5,1,62,86,15.5,0.721,0,4.4,18,5,210,163,4,40.75,52.5,4.657,0
,,,,,,,,,,,,,,,,,
1101,7,0,183,300,26.143,0.61,0,7.429,45,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
615,4,0,122,145,30.5,0.841,0.25,18,61,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
1404,5,2,99,144,33,0.688,0,6.4,37,6,278,211,6,35.167,46.333,4.554,1
,,,,,,,,,,,,,,,,,
505,9,0,393,462,43.667,0.851,0.444,16.444,97,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
604,4,1,42,53,14,0.792,0,6,19,6,280,207,7,29.571,40,4.436,2
,,,,,,,,,,,,,,,,,
411,6,2,60,51,15,1.177,0,5.667,16,7,408,309,12,25.75,34,4.544,5
,,,,,,,,,,,,,,,,,
916,2,1,0,4,0,0,0,0,0,4,145,132,6,22,24.167,5.462,0
,,,,,,,,,,,,,,,,,
1102,7,0,306,349,43.714,0.877,0.429,15.143,113,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
312,4,2,6,16,3,0.375,0,0,4,5,216,166,6,27.667,36,4.611,3
,,,,,,,,,,,,,,,,,
313,2,0,85,80,42.5,1.062,0.5,32,54,1,6,19,0,19,6,19,0
,,,,,,,,,,,,,,,,,
303,5,2,54,79,18,0.683,0,4.8,17,6,330,307,13,23.615,25.385,5.582,3
,,,,,,,,,,,,,,,,,
506,4,0,18,31,4.5,0.581,0,2,12,9,522,390,9,43.333,58,4.483,2
,,,,,,,,,,,,,,,,,
403,7,0,245,307,35,0.798,0.286,10.857,81,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,
