"match_id","match_vec","cluster_label","win_label"
"46","[229, 300, 9, 6, 231, 237, 21, 0, 112.81845060171879, 58.559095920543783, 72.977300280234047, 2.6423702392547894, 52.256011819395127, 0.33012916260288316, 20.35996897208209, -1.1645158595709093, -19.903575307222155, -25.949420700254919, -85.376940469048861, 97.574504381381217, 90.155959322646055, 95.342240244692746, 83.998353243551165, 21.48577247804527, 22.032903317924639, 12.693655915989449, 11.679103271354505, -57.48134702020478, -55.187579335738, 19.136818786401836]","2","0"
"47","[217, 293, 12, 10, 220, 287, 12, 5, 60.435776735419012, 77.766927528847233, -21.059360446399442, 100.28468850750757, 8.3035474915857446, 19.510920334088969, 3.0692037919133317, 14.232235605309128, -21.182225065762726, -17.898203347575166, -74.033763838596116, 97.574504381381217, 90.155959322646055, 95.342240244692746, 83.998353243551165, 21.48577247804527, 22.032903317924639, 12.693655915989449, 11.679103271354505, -57.48134702020478, -55.187579335738, 19.136818786401836]","2","1"
"48","[260, 300, 18, 9, 231, 299, 8, 10, 134.10867773230677, 71.45483185351047, 72.831337129492923, 59.183340576197871, 69.96751299422607, 68.853358775374105, 38.737542932272248, -46.850511183393905, -10.539086434442154, -61.769412968810407, -47.838526314048146, 42.069398324999483, 15.847561875563899, 66.199631437141036, 48.407833241802749, 61.689122176355269, 59.988032428172716, 9.6581900197255131, 16.688825407523858, -26.822406559137612, 24.284747376969584, -47.742226151099487]","2","0"
"5","[292, 300, 11, 6, 296, 292, 14, 4, 10.024212854202931, 29.825734878884703, 1.5222391901277406, 49.893212082023709, -4.8554180763507562, 11.548797048752595, 15.510611348254544, -33.479418548158101, -59.885142746683471, -83.911812934791371, -174.08625240559883, 112.81845060171879, 0.87715743380603717, 72.977300280234047, 58.559095920543783, -81.535663794594512, 2.6423702392547894, 20.35996897208209, -19.903575307222155, -52.833108030422792, 0.33012916260288316, -76.437822073445602]","3","0"
"6","[317, 300, 46, 7, 112, 199, 11, 10, 15.847561875563899, -0.17133994328019098, 42.069398324999483, 48.407833241802749, 61.689122176355269, 59.988032428172716, 16.688825407523858, 9.6581900197255131, -80.921841713146122, 24.284747376969584, -70.472142847683372, -5.5484935596148945, -0.24024174533595, -0.71254607014277294, -113.53550810707961, 46.170485238556779, 13.288787329382314, -51.469468533589364, -10.635127762895479, -11.392456010736318, -84.553117094516708, -59.269980726310543]","4","1"
"11","[338, 299, 15, 10, 338, 300, 11, 8, 134.10867773230677, 71.45483185351047, 72.831337129492923, 69.96751299422607, 68.853358775374105, -141.1952912406945, 59.183340576197871, -46.850511183393905, -10.539086434442154, -48.833541675766597, -47.838526314048146, 112.81845060171879, 0.87715743380603717, 72.977300280234047, 58.559095920543783, -81.535663794594512, 20.35996897208209, -72.035078290125199, -19.903575307222155, 0.33012916260288316, -3.5717079565165988, -76.437822073445602]","5","1"
"14","[142, 262, 19, 10, 146, 112, 8, 1, -5.5484935596148945, -0.24024174533595, -0.71254607014277294, 24.050535972144559, -113.53550810707961, 46.170485238556779, -51.469468533589364, -11.392456010736318, -25.251342631983391, -84.553117094516708, -59.269980726310543, 97.574504381381217, 90.155959322646055, 95.342240244692746, 83.998353243551165, 21.48577247804527, 22.032903317924639, 12.693655915989449, -6.7302102360547984, 19.136818786401836, 11.679103271354505, -55.187579335738]","6","0"
"22","[207, 287, 18, 10, 210, 276, 9, 5, 49.330194225751725, 26.960644193050005, 53.984103711744808, 45.156650612012484, -30.698464981390078, 70.547867927614803, -69.097668105101548, -6.1467719454244909, -10.282041664928714, -16.907542830542177, -111.02905810057545, 134.10867773230677, 71.45483185351047, 72.831337129492923, 59.183340576197871, 69.96751299422607, 68.853358775374105, -141.1952912406945, -46.850511183393905, -48.833541675766597, -10.539086434442154, -47.838526314048146]","7","0"
"25","[189, 280, 12, 10, 191, 219, 4, 5, 12.934158247075411, 29.825734878884703, 1.5222391901277406, 49.893212082023709, 10.024212854202931, -4.8554180763507562, 11.548797048752595, 15.510611348254544, -17.632771910359285, -33.479418548158101, -59.885142746683471, 134.10867773230677, 71.45483185351047, -141.1952912406945, 72.831337129492923, 59.183340576197871, 69.96751299422607, 68.853358775374105, -46.850511183393905, -48.833541675766597, -10.539086434442154, -61.769412968810407]","8","1"
"29","[296, 292, 15, 10, 300, 298, 8, 7, 134.10867773230677, 71.45483185351047, 72.831337129492923, -141.1952912406945, 69.96751299422607, 68.853358775374105, 59.183340576197871, -46.850511183393905, -10.539086434442154, -61.769412968810407, -47.838526314048146, 82.82671133158388, 28.038870579670927, 19.494487575794786, 117.02410354173399, 32.148276094205762, 4.0024567466741425, 28.218554522083203, -23.105571461398018, 15.202641557145443, -42.662703348669702, -9.9290494423721416]","9","1"
"33","[151, 238, 5, 7, 164, 205, 13, 3, 100.28468850750757, 11.656439930031071, 66.887558852896959, 53.617997580332769, 64.982710958840968, -30.93229177601048, -24.525905350403331, -15.929623912765937, -10.572458325936852, -66.240712097779706, -18.10734755716053, 15.847561875563899, -0.17133994328019098, 66.199631437141036, 16.688825407523858, 48.407833241802749, 61.689122176355269, 9.6581900197255131, 42.069398324999483, -80.921841713146122, 24.284747376969584, -26.822406559137612]","10","1"
