player_id,NumOfInningsBatted,NotOutInnings,Bat_AVG,Bat_SR,MRA,BRPI,HS,NumOfIngsBowled,BW_AVG,BW_SR,BW_ECN,MDO,HW
412,1,0,9.0,45.0,0.0,0.0,9,2,21.5,24.0,5.375,2,1
908,4,1,19.667,115.69,0.0,9.5,25,6,18.417,24.917,4.435,6,1
909,5,0,36.8,69.43,0.2,16.8,83,5,81.0,85.0,5.718,0,0
902,4,1,17.333,123.81,0.0,8.5,31,4,79.0,84.0,5.643,0,0
608,5,1,14.5,64.44,0.0,6.4,33,6,25.9,27.0,5.756,0,1
1109,7,0,32.143,72.82,0.286,11.143,69,6,24.6,36.0,4.1,3,0
309,6,1,43.0,57.64,0.333,15.667,70,5,73.5,72.0,6.125,1,0
109,1,0,7.0,36.84,0.0,0.0,7,7,55.6,74.2,4.496,0,0
701,5,1,6.75,33.75,0.0,2.4,22,5,56.667,50.0,6.8,0,0
414,7,0,60.286,80.84,0.714,16.0,92,0,0.0,0.0,0.0,0,0
402,2,2,4.0,36.36,0.0,0.0,2,5,70.5,64.5,6.558,1,0
305,5,1,8.25,76.74,0.0,4.8,15,5,39.4,42.0,5.629,1,0
904,2,0,13.0,34.21,0.0,2.0,22,0,0.0,0.0,0.0,0,0
703,1,0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0
1105,7,1,37.333,97.82,0.143,12.0,99,5,42.5,51.0,5.0,0,0
205,6,0,19.0,71.7,0.0,8.333,37,0,0.0,0.0,0.0,0,0
1306,1,0,17.0,100.0,0.0,10.0,17,0,0.0,0.0,0.0,0,0
1311,4,1,6.333,35.85,0.0,2.0,16,6,15.0,21.231,4.239,2,1
1309,6,0,30.0,150.0,0.333,20.333,94,5,78.5,95.5,4.932,0,0
1201,8,3,93.0,83.78,0.5,25.75,111,0,0.0,0.0,0.0,0,0
917,1,1,7.0,233.33,0.0,4.0,7,3,12.333,20.667,3.581,2,0
609,6,1,39.6,125.32,0.167,21.667,113,4,28.75,25.5,6.765,0,1
417,4,0,32.75,96.32,0.25,20.0,59,2,49.0,60.0,4.9,0,0
914,4,2,49.5,107.61,0.0,9.5,38,2,30.0,30.0,6.0,0,0
315,1,0,18.0,43.9,0.0,8.0,18,0,0.0,0.0,0.0,0,0
1008,7,1,34.5,74.46,0.143,16.0,55,0,0.0,0.0,0.0,0,0
310,4,1,13.0,59.09,0.0,5.5,22,4,78.0,85.5,5.474,0,0
915,1,1,3.0,100.0,0.0,0.0,3,1,24.0,32.0,4.5,0,0
415,2,1,45.0,75.0,0.0,10.0,44,2,35.0,48.0,4.375,0,0
1114,1,1,4.0,200.0,0.0,4.0,4,1,4.667,10.0,2.8,2,0
1209,1,0,6.0,150.0,0.0,6.0,6,6,20.769,22.462,5.548,0,1
712,5,0,4.4,33.85,0.0,0.8,16,0,0.0,0.0,0.0,0,0
